"event_id ","event_name","be_eco","be_friendly","be_fit","be_open","be_pro","be_healthy"
"1"," Научная и учебно-методическая конференция","0","0","0","0","1","0"
"2","Проектная деятельность проекта","0","0.7","0","0","0.3","0"
"3","Startup ideas ","0","0.2","0","0","0.8","0"
"4","Выездной лагерь","0","0.9","0","0","0","0.1"
"5","Halloween","0","1","0","0","0","0"
"6","Посвящение в студенты Герцена","0","0.8","0","0.2","0","0"
"7","Культурный квест","0","0.7","0","0","0","0"
"8","Лига Университета по шахматам","0","0.1","0.8","0","0.1","0"
"9","Клуб английского","0.6","0.4","0","0","0","0"
"10","Спорт баттл","0","0.3","0.5","0","0.2","0"
"11","Студенческий бал","0","1","0","0","0","0"
"12","Новогодний all styles баттл","0","0.5","0.5","0","0","0"
